MoleculeType	Identifier	MoleculeName	
Proteins	Q8TDS4	UniProt:Q8TDS4 HCAR2	
Proteins	P25025	UniProt:P25025 CXCR2	
Proteins	P42830	UniProt:P42830 CXCL5	
Proteins	P19875	UniProt:P19875 CXCL2	
Proteins	P09341	UniProt:P09341 CXCL1	
Proteins	P19876	UniProt:P19876 CXCL3	
Proteins	P02775	UniProt:P02775 PPBP	
Proteins	P02776	UniProt:P02776 PF4	
Proteins	O00222	UniProt:O00222 GRM8	
Proteins	Q14416	UniProt:Q14416 GRM2	
Proteins	Q14833	UniProt:Q14833 GRM4	
Proteins	O15303	UniProt:O15303 GRM6	
Proteins	Q14832	UniProt:Q14832 GRM3	
Proteins	Q14831	UniProt:Q14831 GRM7	
Proteins	P01298	UniProt:P01298 PPY	
Proteins	P10082	UniProt:P10082 PYY	
Proteins	P01303	UniProt:P01303 NPY	
Proteins	P50391	UniProt:P50391 NPY4R	
Proteins	Q15761	UniProt:Q15761 NPY5R	
Proteins	P25929	UniProt:P25929 NPY1R	
Proteins	P49146	UniProt:P49146 NPY2R	
Proteins	Q99527	UniProt:Q99527 GPER1	
Proteins	P41180	UniProt:P41180 CASR	
Proteins	O43927	UniProt:O43927 CXCL13	
Proteins	P32302	UniProt:P32302 CXCR5	
Proteins	P32249	UniProt:P32249 GPR183	
Proteins	P51686	UniProt:P51686 CCR9	
Proteins	O15444	UniProt:O15444 CCL25	
Proteins	P0DMS8	UniProt:P0DMS8 ADORA3	
Proteins	P30542	UniProt:P30542 ADORA1	
Proteins	P20382	UniProt:P20382 PMCH	
Proteins	Q969V1	UniProt:Q969V1 MCHR2	
Proteins	Q99705	UniProt:Q99705 MCHR1	
Proteins	Q9H3N8	UniProt:Q9H3N8 HRH4	
Proteins	P21462	UniProt:P21462 FPR1	
Proteins	Q9UBS5	UniProt:Q9UBS5 GABBR1	
Proteins	O75899	UniProt:O75899 GABBR2	
Proteins	Q7RTX0	UniProt:Q7RTX0 TAS1R3	
Proteins	Q7RTX1	UniProt:Q7RTX1 TAS1R1	
Proteins	Q9Y5Y4	UniProt:Q9Y5Y4 PTGDR2	
Proteins	Q8TDU9	UniProt:Q8TDU9 RXFP4	
Proteins	Q9Y5Q6	UniProt:Q9Y5Q6 INSL5	
Proteins	P78423	UniProt:P78423 CX3CL1	
Proteins	P49238	UniProt:P49238 CX3CR1	
Proteins	O00230	UniProt:O00230 CORT	
Proteins	P61278	UniProt:P61278 SST	
Proteins	P30872	UniProt:P30872 SSTR1	
Proteins	P30874	UniProt:P30874 SSTR2	
Proteins	P35346	UniProt:P35346 SSTR5	
Proteins	P32745	UniProt:P32745 SSTR3	
Proteins	P31391	UniProt:P31391 SSTR4	
Proteins	Q8TE23	UniProt:Q8TE23 TAS1R2	
Proteins	P46092	UniProt:P46092 CCR10	
Proteins	Q9NRJ3	UniProt:Q9NRJ3 CCL28	
Proteins	Q9Y4X3	UniProt:Q9Y4X3 CCL27	
Proteins	P43115	UniProt:P43115 PTGER3	
Proteins	P50052	UniProt:P50052 AGTR2	
Proteins	P01019	UniProt:P01019 AGT	
Proteins	P51684	UniProt:P51684 CCR6	
Proteins	P78556	UniProt:P78556 CCL20	
Proteins	P49682	UniProt:P49682 CXCR3	
Proteins	Q07325	UniProt:Q07325 CXCL9	
Proteins	P02778	UniProt:P02778 CXCL10	
Proteins	O14625	UniProt:O14625 CXCL11	
Proteins	Q13304	UniProt:Q13304 GPR17	
Proteins	Q8N729	UniProt:Q8N729 NPW	
Proteins	Q8NG41	UniProt:Q8NG41 NPB	
Proteins	P48146	UniProt:P48146 NPBWR2	
Proteins	P48145	UniProt:P48145 NPBWR1	
Proteins	O94810	UniProt:O94810 RGS11	
Proteins	P49758	UniProt:P49758 RGS6	
Proteins	P49796	UniProt:P49796 RGS3	
Proteins	O14924	UniProt:O14924 RGS12	
Proteins	O15539	UniProt:O15539 RGS5	
