MoleculeType	Identifier	MoleculeName	
Proteins	P67775	UniProt:P67775 PPP2CA	
Proteins	P62714	UniProt:P62714 PPP2CB	
Proteins	P48729	UniProt:P48729 CSNK1A1	
Proteins	Q92837	UniProt:Q92837 FRAT1	
Proteins	O75474	UniProt:O75474 FRAT2	
Proteins	P78368	UniProt:P78368 CSNK1G2	
Proteins	Q9H2H0	UniProt:Q9H2H0 CXXC4	
Proteins	Q9P219	UniProt:Q9P219 CCDC88C	
Proteins	Q13363	UniProt:Q13363 CTBP1	
Proteins	Q9Y297	UniProt:Q9Y297 BTRC	
Proteins	P63104	UniProt:P63104 YWHAZ	
Proteins	Q9Y3M2	UniProt:Q9Y3M2 CBY1	
Proteins	O14980	UniProt:O14980 XPO1	
Proteins	P31751	UniProt:P31751 AKT2	
Proteins	P31749	UniProt:P31749 AKT1	
Proteins	P98170	UniProt:P98170 XIAP	
Proteins	Q9BT81	UniProt:Q9BT81 SOX7	
Proteins	P48431	UniProt:P48431 SOX2	
Proteins	P48436	UniProt:P48436 SOX9	
Proteins	P35712	UniProt:P35712 SOX6	
Proteins	Q06945	UniProt:Q06945 SOX4	
Proteins	P41225	UniProt:P41225 SOX3	
Proteins	Q05066	UniProt:Q05066 SRY	
Proteins	Q9H6I2	UniProt:Q9H6I2 SOX17	
Proteins	Q9HCK8	UniProt:Q9HCK8 CHD8	
Proteins	Q9NSA3	UniProt:Q9NSA3 CTNNBIP1	
Proteins	Q9UN79	UniProt:Q9UN79 SOX13	
Proteins	Q9UBE8	UniProt:Q9UBE8 NLK	
Proteins	Q9UL18	UniProt:Q9UL18 AGO1	
Proteins	Q9HCK5	UniProt:Q9HCK5 AGO4	
Proteins	Q9H9G7	UniProt:Q9H9G7 AGO3	
Proteins	Q8NDV7	UniProt:Q8NDV7 TNRC6A	
Proteins	Q9UPQ9	UniProt:Q9UPQ9 TNRC6B	
Proteins	Q9HCJ0	UniProt:Q9HCJ0 TNRC6C	
Proteins	Q9HCE1	UniProt:Q9HCE1 MOV10	
Proteins	Q9UKV8	UniProt:Q9UKV8 AGO2	
Proteins	O96014	UniProt:O96014 WNT11	
Proteins	Q9NPG1	UniProt:Q9NPG1 FZD3	
Proteins	P62879	UniProt:P62879 GNB2	
Proteins	Q9HAV0	UniProt:Q9HAV0 GNB4	
Proteins	O14775	UniProt:O14775 GNB5	
Proteins	P16520	UniProt:P16520 GNB3	
Proteins	P62873	UniProt:P62873 GNB1	
Proteins	Q9UK08	UniProt:Q9UK08 GNG8	
Proteins	O14610	UniProt:O14610 GNGT2	
Proteins	P63211	UniProt:P63211 GNGT1	
Proteins	O60262	UniProt:O60262 GNG7	
Proteins	Q9P2W3	UniProt:Q9P2W3 GNG13	
Proteins	P63215	UniProt:P63215 GNG3	
Proteins	P50151	UniProt:P50151 GNG10	
Proteins	P61952	UniProt:P61952 GNG11	
Proteins	P50150	UniProt:P50150 GNG4	
Proteins	P63218	UniProt:P63218 GNG5	
Proteins	Q9UBI6	UniProt:Q9UBI6 GNG12	
Proteins	P59768	UniProt:P59768 GNG2	
Proteins	P19087	UniProt:P19087 GNAT2	
Proteins	P09471	UniProt:P09471 GNAO1	
Proteins	Q01970	UniProt:Q01970 PLCB3	
Proteins	Q9NQ66	UniProt:Q9NQ66 PLCB1	
Proteins	Q00722	UniProt:Q00722 PLCB2	
Proteins	P63098	UniProt:P63098 PPP3R1	
Proteins	P16298	UniProt:P16298 PPP3CB	
Proteins	Q08209	UniProt:Q08209 PPP3CA	
Proteins	P0DP23	UniProt:P0DP23 CALM1	
Proteins	O95644	UniProt:O95644 NFATC1	
Proteins	Q9UQM7	UniProt:Q9UQM7 CAMK2A	
Proteins	O43318	UniProt:O43318 MAP3K7	
Proteins	P17252	UniProt:P17252 PRKCA	
Proteins	Q13237	UniProt:Q13237 PRKG2	
Proteins	Q13976	UniProt:Q13976 PRKG1	
Proteins	Q14643	UniProt:Q14643 ITPR1	
Proteins	Q14573	UniProt:Q14573 ITPR3	
Proteins	Q14571	UniProt:Q14571 ITPR2	
Proteins	P35913	UniProt:P35913 PDE6B	
Proteins	P16499	UniProt:P16499 PDE6A	
Proteins	P18545	UniProt:P18545 PDE6G	
Proteins	P01116-2	UniProt:P01116-2 KRAS	
Proteins	Q9NPB6	UniProt:Q9NPB6 PARD6A	
Proteins	Q9HCE7	UniProt:Q9HCE7 SMURF1	
Proteins	Q96MT3	UniProt:Q96MT3 PRICKLE1	
Proteins	O75084	UniProt:O75084 FZD7	
Proteins	Q9ULK5	UniProt:Q9ULK5 VANGL2	
Proteins	Q14160	UniProt:Q14160 SCRIB	
Proteins	Q9H1J7	UniProt:Q9H1J7 WNT5B	
